model,session_id,window_id,label,probability,prediction,threshold
environment_only,sess_002,sess_002_w000,0,0.07404384,0,0.59
environment_only,sess_002,sess_002_w001,0,0.79835325,1,0.59
environment_only,sess_002,sess_002_w002,0,0.10493246,0,0.59
environment_only,sess_002,sess_002_w003,0,0.070861414,0,0.59
environment_only,sess_002,sess_002_w004,0,0.029118806,0,0.59
environment_only,sess_002,sess_002_w005,0,0.032646745,0,0.59
environment_only,sess_002,sess_002_w006,0,0.050042298,0,0.59
environment_only,sess_002,sess_002_w007,0,0.043630734,0,0.59
environment_only,sess_002,sess_002_w008,0,0.18737118,0,0.59
environment_only,sess_002,sess_002_w009,0,0.020695282,0,0.59
environment_only,sess_002,sess_002_w010,0,0.03938734,0,0.59
environment_only,sess_002,sess_002_w011,0,0.12076517,0,0.59
environment_only,sess_002,sess_002_w012,0,0.05799193,0,0.59
environment_only,sess_002,sess_002_w013,0,0.071895115,0,0.59
environment_only,sess_002,sess_002_w014,0,0.036131226,0,0.59
environment_only,sess_002,sess_002_w015,0,0.06559696,0,0.59
environment_only,sess_002,sess_002_w016,0,0.06047124,0,0.59
environment_only,sess_002,sess_002_w017,0,0.029118806,0,0.59
environment_only,sess_005,sess_005_w000,0,0.6049533,1,0.59
environment_only,sess_005,sess_005_w001,0,0.04151251,0,0.59
environment_only,sess_005,sess_005_w002,0,0.046845514,0,0.59
environment_only,sess_005,sess_005_w003,0,0.03690406,0,0.59
environment_only,sess_005,sess_005_w004,0,0.066295385,0,0.59
environment_only,sess_005,sess_005_w005,0,0.040907476,0,0.59
environment_only,sess_005,sess_005_w006,0,0.023482347,0,0.59
environment_only,sess_005,sess_005_w007,0,0.037216228,0,0.59
environment_only,sess_005,sess_005_w008,0,0.023808323,0,0.59
environment_only,sess_005,sess_005_w009,0,0.19887185,0,0.59
environment_only,sess_005,sess_005_w010,0,0.043463316,0,0.59
environment_only,sess_005,sess_005_w011,0,0.020662256,0,0.59
environment_only,sess_005,sess_005_w012,0,0.052598085,0,0.59
environment_only,sess_005,sess_005_w013,0,0.056043603,0,0.59
environment_only,sess_005,sess_005_w014,0,0.04411432,0,0.59
environment_only,sess_005,sess_005_w015,0,0.11482629,0,0.59
environment_only,sess_005,sess_005_w016,0,0.039821807,0,0.59
environment_only,sess_005,sess_005_w017,0,0.06487858,0,0.59
environment_only,sess_009,sess_009_w000,0,0.03550421,0,0.59
environment_only,sess_009,sess_009_w001,0,0.03396515,0,0.59
environment_only,sess_009,sess_009_w002,0,0.058084216,0,0.59
environment_only,sess_009,sess_009_w003,0,0.03958752,0,0.59
environment_only,sess_009,sess_009_w004,0,0.046603795,0,0.59
environment_only,sess_009,sess_009_w005,0,0.034107048,0,0.59
environment_only,sess_009,sess_009_w006,0,0.36299336,0,0.59
