model,session_id,window_id,label,probability,prediction,threshold
interaction_only,sess_002,sess_002_w000,0,0.34440118,0,0.63
interaction_only,sess_002,sess_002_w001,0,9.281778e-13,0,0.63
interaction_only,sess_002,sess_002_w002,0,0.34440118,0,0.63
interaction_only,sess_002,sess_002_w003,0,3.481663e-13,0,0.63
interaction_only,sess_002,sess_002_w004,0,5.0138747e-12,0,0.63
interaction_only,sess_002,sess_002_w005,0,1.7167387e-11,0,0.63
interaction_only,sess_002,sess_002_w006,0,0.34440118,0,0.63
interaction_only,sess_002,sess_002_w007,0,4.334529e-09,0,0.63
interaction_only,sess_002,sess_002_w008,0,1.0172111e-12,0,0.63
interaction_only,sess_002,sess_002_w009,0,6.80407e-14,0,0.63
interaction_only,sess_002,sess_002_w010,0,2.5654086e-11,0,0.63
interaction_only,sess_002,sess_002_w011,0,1.3894586e-16,0,0.63
interaction_only,sess_002,sess_002_w012,0,4.8631855e-11,0,0.63
interaction_only,sess_002,sess_002_w013,0,4.1642672e-15,0,0.63
interaction_only,sess_002,sess_002_w014,0,6.7669873e-15,0,0.63
interaction_only,sess_002,sess_002_w015,0,1.3958105e-11,0,0.63
interaction_only,sess_002,sess_002_w016,0,5.219629e-10,0,0.63
interaction_only,sess_002,sess_002_w017,0,2.0851047e-12,0,0.63
interaction_only,sess_005,sess_005_w000,0,4.0400523e-11,0,0.63
interaction_only,sess_005,sess_005_w001,0,0.34463543,0,0.63
interaction_only,sess_005,sess_005_w002,0,8.41553e-12,0,0.63
interaction_only,sess_005,sess_005_w003,0,0.34440118,0,0.63
interaction_only,sess_005,sess_005_w004,0,0.34440118,0,0.63
interaction_only,sess_005,sess_005_w005,0,2.7955467e-13,0,0.63
interaction_only,sess_005,sess_005_w006,0,0.34440118,0,0.63
interaction_only,sess_005,sess_005_w007,0,4.4531473e-07,0,0.63
interaction_only,sess_005,sess_005_w008,0,0.0043715294,0,0.63
interaction_only,sess_005,sess_005_w009,0,2.5756027e-14,0,0.63
interaction_only,sess_005,sess_005_w010,0,5.0164717e-10,0,0.63
interaction_only,sess_005,sess_005_w011,0,3.885803e-09,0,0.63
interaction_only,sess_005,sess_005_w012,0,4.2448334e-13,0,0.63
interaction_only,sess_005,sess_005_w013,0,1.5202617e-11,0,0.63
interaction_only,sess_005,sess_005_w014,0,7.2126516e-17,0,0.63
