experiment,experiment_version,dataset,dataset_version,dataset_rows,dataset_sessions,honest_count,cheating_count,class_ratio,model,streams,test_auc,pr_auc,f1,precision,recall,accuracy,fpr,fnr,threshold,seed,source_file,source_path,source_commit,notes
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,gaze_only,gaze_only,NOT_REPORTED,0.8300234362789438,0.8387096774193548,1.0,0.7222222222222222,NOT_REPORTED,0.0,0.2777777777777778,0.5299999999999999,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,interaction_only,interaction_only,NOT_REPORTED,0.9999620129357059,0.9969040247678018,1.0,0.9938271604938271,NOT_REPORTED,0.0,0.006172839506172839,0.63,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,environment_only,environment_only,NOT_REPORTED,0.9292004483071722,0.851063829787234,0.8383233532934131,0.8641975308641975,NOT_REPORTED,0.04838709677419355,0.13580246913580246,0.59,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,gaze_interaction,gaze_interaction,NOT_REPORTED,1.0,1.0,1.0,1.0,NOT_REPORTED,0.0,0.0,0.6,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,gaze_environment,gaze_environment,NOT_REPORTED,0.962442967407561,0.9180327868852458,0.9790209790209791,0.8641975308641975,NOT_REPORTED,0.005376344086021506,0.13580246913580246,0.7,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,interaction_environment,interaction_environment,NOT_REPORTED,0.9996518269019032,0.9907692307692307,0.9877300613496932,0.9938271604938271,NOT_REPORTED,0.0035842293906810036,0.006172839506172839,0.48999999999999994,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,early_fusion,Single/Pairwise/Tri-stream,NOT_REPORTED,1.0,1.0,1.0,1.0,NOT_REPORTED,0.0,0.0,0.10999999999999999,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,late_fusion,Single/Pairwise/Tri-stream,NOT_REPORTED,1.0,1.0,1.0,1.0,NOT_REPORTED,0.0,0.0,0.29,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
First Experiment,Exp1,Dataset 1 (Initial Synthetic),v1.0,3600,30,2700,900,3:1,attention_fusion,Single/Pairwise/Tri-stream,NOT_REPORTED,1.0,1.0,1.0,1.0,NOT_REPORTED,0.0,0.0,0.05,42,results/model_1_initial_dataset/run1/metrics/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/model_1_initial_dataset/run1/metrics/results.json,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
Current/Final Experiment,Exp2,Dataset 3 (Final Balanced),v3.0,175190,600,93391,81799,1.14:1,gaze_only,gaze_only,NOT_REPORTED,0.9414524878565345,0.8426477693670479,0.8849198295108586,0.8042302016724053,NOT_REPORTED,0.09771369485294118,0.1957697983275947,0.48999999999999994,42,results/final/results.json,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/results/final/results.json,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
