auc_roc,pr_auc,f1,precision,recall,fpr,fnr,brier,ece,threshold,tp,fp,tn,fn,scenario,model,model_key,auc_degradation
0.8734876543209876,0.8335173281091797,0.47605633802816893,0.31886792452830187,0.9388888888888889,0.6685185185185185,0.06111111111111111,0.4418788708980142,0.48260058764523517,0.48999999999999994,169,361,179,11,A,Gaze-only,gaze_only,0.05359837512468457
0.9988168724279836,0.9962968776169651,0.8372093023255813,0.72,1.0,0.12962962962962962,0.0,0.18905587335031496,0.34697050405666235,0.59,180,70,470,0,A,Interaction-only,interaction_only,-0.05910294624153967
0.7789763374485597,0.7980275069002722,0.359039190897598,0.23240589198036007,0.7888888888888889,0.8685185185185185,0.2111111111111111,0.22639753806529575,0.374383070319891,0.37999999999999995,142,469,71,38,A,Environment-only,environment_only,0.04804749727708846
0.7537037037037038,0.7017937219730942,0.42654028436018954,0.2710843373493976,1.0,0.8962962962962963,0.0,0.6700394117164947,0.6798334215250279,0.73,180,484,56,0,A,Gaze + Interaction,gaze_interaction,0.22334997380671262
0.7834825102880658,0.6856982438640613,0.4110576923076923,0.26226993865030673,0.95,0.8907407407407407,0.05,0.6476711380733869,0.6601524474099278,0.5399999999999999,171,481,59,9,A,Gaze + Environment,gaze_environment,0.17210336978120933
1.0,1.0,0.8035714285714287,0.6716417910447762,1.0,0.16296296296296298,0.0,0.19513923748824774,0.36129728950974016,0.58,180,88,452,0,A,Interaction + Environment,interaction_environment,-0.040064046278116106
0.7351851851851852,0.6931330472103004,0.4358353510895883,0.2786377708978328,1.0,0.8629629629629629,0.0,0.6493904602388829,0.6625929518033647,0.7799999999999999,180,466,74,0,A,Early Fusion,early_fusion,0.24928087748073513
0.9998353909465021,0.9995175587973,0.6741573033707865,0.5084745762711864,1.0,0.32222222222222224,0.0,0.2150021694059398,0.28156839414085777,0.59,180,174,366,0,A,Late Fusion,late_fusion,-0.016983440700808705
0.9907664609053498,0.9776805332373355,0.4368932038834951,0.2795031055900621,1.0,0.8592592592592593,0.0,0.6669252731076714,0.6829247926258378,0.9299999999999999,180,464,76,0,A,Three-stream Attention Fusion,attention_fusion,-0.006870735491860014
0.8551954732510287,0.843391819035317,0.5068027210884353,0.36519607843137253,0.8277777777777777,0.47962962962962963,0.17222222222222222,0.18098157097416584,0.30219713002443316,0.48999999999999994,149,259,281,31,B,Gaze-only,gaze_only,0.07189055619464346
0.5606584362139917,0.4645302501348072,0.40592930444697833,0.25538020086083213,0.9888888888888889,0.9611111111111111,0.011111111111111112,0.6696613703916984,0.6848374653193685,0.59,178,519,21,2,B,Interaction-only,interaction_only,0.3790554899724522
