artifact_id,copied_filename,original_filename,original_path,archive_path,tier,artifact_type,experiment,dataset_version,model,relevance,source_commit,date,sha256,file_size,original_or_derived,description
ART_0001,CLAUDE.md,CLAUDE.md,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/CLAUDE.md,Research Paper/13_HISTORY/01_INITIAL_STATE/CLAUDE.md,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-30 13:13:34,fa5f708c47350829bf1ca6155f74e960f0fc362e9256de2ad83585520fae4662,7055,ORIGINAL-COPY,Copied from CLAUDE.md
ART_0002,FINAL_REPORT.md,FINAL_REPORT.md,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/FINAL_REPORT.md,Research Paper/09_TRAINING_AND_REPRODUCIBILITY/04_COMMANDS/FINAL_REPORT.md,TIER A,general,CURRENT_FINAL_EXPERIMENT,UNKNOWN,N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:13:33,77bd1ca40affe25af3f3f1ae4356b71e5e749a59cac5e9658cfd109f20134f5f,4834,ORIGINAL-COPY,Copied from FINAL_REPORT.md
ART_0003,pyproject.toml,pyproject.toml,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/pyproject.toml,Research Paper/09_TRAINING_AND_REPRODUCIBILITY/03_ENVIRONMENT/pyproject.toml,TIER A,general,CURRENT_FINAL_EXPERIMENT,UNKNOWN,N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,f7cbc0c27356ee72ac8a35d3ee7e7103775cda47d620aea5f108e80b89aa77a9,597,ORIGINAL-COPY,Copied from pyproject.toml
ART_0004,README.md,README.md,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/README.md,Research Paper/13_HISTORY/01_INITIAL_STATE/README.md,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:14:06,d800701892241adbed2fcf43fc91476020020fb27115cd5d6b87c47957dd4866,12290,ORIGINAL-COPY,Copied from README.md
ART_0005,REPRODUCTION.md,REPRODUCTION.md,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/REPRODUCTION.md,Research Paper/09_TRAINING_AND_REPRODUCIBILITY/06_REPRODUCTION/REPRODUCTION.md,TIER A,general,CURRENT_FINAL_EXPERIMENT,UNKNOWN,N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 16:13:13,653b604a706b8166d542ab93f06d5308d4535d4abac00e258ccf35cdf04f7ea5,1901,ORIGINAL-COPY,Copied from REPRODUCTION.md
ART_0006,requirements-lock.txt,requirements-lock.txt,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/requirements-lock.txt,Research Paper/09_TRAINING_AND_REPRODUCIBILITY/03_ENVIRONMENT/requirements-lock.txt,TIER A,general,CURRENT_FINAL_EXPERIMENT,UNKNOWN,N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,560017366e614781a1fab93ca28707bd6885d8b689278812fe088d040e33c58c,32451,ORIGINAL-COPY,Copied from requirements-lock.txt
ART_0007,requirements.txt,requirements.txt,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/requirements.txt,Research Paper/09_TRAINING_AND_REPRODUCIBILITY/03_ENVIRONMENT/requirements.txt,TIER A,general,CURRENT_FINAL_EXPERIMENT,UNKNOWN,N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-29 13:31:31,486e25cd2ba3bed80b2933cc1d4c9e7c9a2aa2c15bfa2c1aa54dafd95f7921f9,344,ORIGINAL-COPY,Copied from requirements.txt
ART_0008,run_experiments.py,run_experiments.py,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/run_experiments.py,Research Paper/03_SYSTEM_AND_METHOD/08_INFERENCE/run_experiments.py,TIER A,general,CURRENT_FINAL_EXPERIMENT,UNKNOWN,N/A,TIER A,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:58:18,892f7eae68bdca1f2d085897b2cb3a738b57e464dd0c18405a7c664fe1ac6511,15064,ORIGINAL-COPY,Copied from run_experiments.py
ART_0009,settings.local.json.template,settings.local.json.template,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/.claude/settings.local.json.template,Research Paper/13_HISTORY/01_INITIAL_STATE/settings.local.json.template,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-09-04 15:13:49,bd68f1b667001a65979d2a77389c5955bced67d022377e94acab2a87bd89b3dd,472,ORIGINAL-COPY,Copied from .claude/settings.local.json.template
ART_0010,CACHEDIR.TAG,CACHEDIR.TAG,/media/adi/New Volume1/CUSAT Academics/Research Paper/NOVEL-FRAMEWORK-FOR-MALPRACTICE-DETECTION-DURING-ONLINE-EXAM/.pytest_cache/CACHEDIR.TAG,Research Paper/13_HISTORY/01_INITIAL_STATE/CACHEDIR.TAG,TIER C,general,GENERAL,UNKNOWN,N/A,TIER C,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,2026-08-25 17:16:50,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,191,ORIGINAL-COPY,Copied from .pytest_cache/CACHEDIR.TAG
