paper_metric_id,experiment,model,metric,value,dataset,dataset_version,split,seed,raw_source,evaluation_script,code_commit,notes
METRIC_001,First Experiment,gaze_only,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.8387096774193548, Prec=1.0, Rec=0.7222222222222222",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_002,First Experiment,interaction_only,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9969040247678018, Prec=1.0, Rec=0.9938271604938271",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_003,First Experiment,environment_only,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.851063829787234, Prec=0.8383233532934131, Rec=0.8641975308641975",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_004,First Experiment,gaze_interaction,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=1.0, Prec=1.0, Rec=1.0",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_005,First Experiment,gaze_environment,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9180327868852458, Prec=0.9790209790209791, Rec=0.8641975308641975",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_006,First Experiment,interaction_environment,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9907692307692307, Prec=0.9877300613496932, Rec=0.9938271604938271",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_007,First Experiment,early_fusion,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=1.0, Prec=1.0, Rec=1.0",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_008,First Experiment,late_fusion,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=1.0, Prec=1.0, Rec=1.0",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_009,First Experiment,attention_fusion,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=1.0, Prec=1.0, Rec=1.0",Dataset 1 (Initial Synthetic),v1.0,Participant-Isolated Test Set (20%),42,results/model_1_initial_dataset/run1/metrics/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,0f567d433c525b47f698699b6d71437413fb3256,Initial synthetic dataset experiment run
METRIC_010,Current/Final Experiment,gaze_only,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.8426477693670479, Prec=0.8849198295108586, Rec=0.8042302016724053",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_011,Current/Final Experiment,interaction_only,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.8794564778689626, Prec=0.9707454707454708, Rec=0.8038612887358584",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_012,Current/Final Experiment,environment_only,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.7316432344802527, Prec=0.670732332291293, Rec=0.8047220855878012",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_013,Current/Final Experiment,gaze_interaction,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9648572424501696, Prec=0.9954881318250179, Rec=0.9360550909985244",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_014,Current/Final Experiment,gaze_environment,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.8771918172157279, Prec=0.9537117273252456, Rec=0.8120388588293163",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_015,Current/Final Experiment,interaction_environment,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9029569098487086, Prec=0.9683254733582037, Rec=0.8458558780127889",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_016,Current/Final Experiment,early_fusion,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9738134206219313, Prec=0.9975496517926231, Rec=0.9511805213969503",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_017,Current/Final Experiment,late_fusion,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9621130933619113, Prec=0.9870650627344457, Rec=0.9383915395966552",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
METRIC_018,Current/Final Experiment,attention_fusion,ROC-AUC / F1 / Precision / Recall,"AUC=NOT_REPORTED, F1=0.9770508272376228, Prec=0.9982038616973506, Rec=0.9567757009345794",Dataset 3 (Final Balanced),v3.0,Participant-Isolated Test Set (20%),42,results/final/results.json,run_experiments.py / src/exam_proctoring/evaluation/metrics.py,ea95f5a0fb006bc09285f82e0de2905b9a7f826e,Final 50:50 balanced dataset experiment run
