Model,AUC,F1,Precision,Recall,FPR,FNR,TP,FP,TN,FN
attention_fusion,0.9804,0.9127,0.8798,0.9482,0.1208,0.0518,183,25,182,10
all_three,0.9774,0.9303,0.8947,0.9689,0.1063,0.0311,187,22,185,6
late_fusion,0.9587,0.8982,0.9053,0.8912,0.087,0.1088,172,18,189,21
early_fusion,0.9443,0.8542,0.8586,0.8497,0.1304,0.1503,164,27,180,29
mouse_environment,0.891,0.796,0.7745,0.8187,0.2222,0.1813,158,46,161,35
gaze_environment,0.8851,0.7895,0.8021,0.7772,0.1787,0.2228,150,37,170,43
gaze_mouse,0.8808,0.7899,0.7723,0.8083,0.2222,0.1917,156,46,161,37
mouse_only,0.8054,0.7238,0.7751,0.6788,0.1836,0.3212,131,38,169,62
gaze_only,0.7481,0.6479,0.7099,0.5959,0.2271,0.4041,115,47,160,78
environment_only,0.7428,0.6427,0.6905,0.601,0.2512,0.399,116,52,155,77
